Date,Open,High,Low,Close,Adj Close,Volume
2018-02-16,88.849998,89.029999,86.639999,87.669998,85.582611,609500
2018-02-20,85.910004,86.339996,85.300003,85.500000,83.464287,483600
2018-02-21,85.900002,87.669998,85.370003,85.620003,83.581429,619800
2018-02-22,85.070000,85.830002,84.830002,85.239998,83.210472,362600
2018-02-23,84.330002,85.139999,84.050003,85.019997,82.995712,496200
2018-02-26,85.639999,85.820000,84.690002,85.410004,83.376427,439400
2018-02-27,83.889999,83.910004,82.290001,82.529999,80.564995,722300
2018-02-28,81.089996,81.949997,80.660004,81.019997,79.090950,961700
2018-03-01,79.769997,81.419998,79.169998,81.050003,79.120239,813400
2018-03-02,81.919998,83.150002,81.529999,81.830002,79.881668,610200
2018-03-05,81.209999,82.699997,81.099998,82.339996,80.379517,435000
2018-03-06,83.709999,84.690002,83.449997,83.839996,81.843803,460400
2018-03-07,83.400002,83.910004,82.389999,83.019997,81.043327,342500
2018-03-08,82.620003,83.250000,82.070000,83.209999,81.228806,404600
2018-03-09,83.300003,83.959999,82.529999,82.870003,80.896904,400400
2018-03-12,82.750000,83.989998,82.419998,83.559998,81.570473,597800
2018-03-13,84.820000,85.150002,84.080002,84.370003,82.361191,543300
2018-03-14,84.529999,85.110001,84.339996,84.699997,82.683327,423100
2018-03-15,83.790001,84.279999,82.919998,82.959999,80.984756,478200
2018-03-16,82.919998,83.360001,82.440002,83.239998,81.258087,1337700
2018-03-19,82.529999,82.879997,81.570000,82.349998,80.389282,586200
2018-03-20,82.309998,82.730003,81.779999,82.260002,80.301430,469100
2018-03-21,83.220001,84.540001,82.400002,84.000000,82.000000,608100
2018-03-22,81.150002,81.540001,80.449997,80.519997,80.519997,632000
2018-03-23,83.239998,84.669998,83.190002,83.919998,83.919998,1094200
2018-03-26,85.510002,85.879997,84.980003,85.220001,85.220001,554400
2018-03-27,84.870003,84.940002,83.349998,83.660004,83.660004,510200
2018-03-28,82.430000,82.849998,81.959999,82.320000,82.320000,411300
2018-03-29,82.440002,83.360001,82.400002,83.239998,83.239998,326900
2018-04-02,84.160004,85.459999,84.040001,84.529999,84.529999,320800
2018-04-03,83.699997,83.919998,82.519997,82.660004,82.660004,365500
2018-04-04,82.139999,82.190002,79.449997,79.669998,79.669998,1202300
2018-04-05,79.379997,79.830002,77.699997,78.910004,78.910004,994800
2018-04-06,79.250000,80.190002,78.809998,79.730003,79.730003,505000
2018-04-09,78.970001,80.339996,78.370003,79.639999,79.639999,386400
2018-04-10,79.980003,81.680000,79.980003,81.339996,81.339996,567300
2018-04-11,82.300003,83.889999,82.129997,82.629997,82.629997,809000
2018-04-12,81.430000,81.529999,80.709999,80.769997,80.769997,733500
